2021-02-22T18:38:52.612Z [AUDIT] Token created by 'jffe@000': tokenId='160175ca-bcfe-460e-a41d-f9f5debf20b5', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1614019732612, refreshable=false
2021-02-22T18:39:28.197Z [AUDIT] Token revoked by 'jffe@000': tokenId='6a7ceb2e-6c94-428d-b980-7e9c1233c459', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1614020932562, refreshable=true
2021-02-22T18:39:32.931Z [AUDIT] Token created by 'jffe@000': tokenId='a49715c5-9722-42e9-aa08-13aede43cc6f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614020972929, refreshable=true
2021-02-22T18:39:33.000Z [AUDIT] Token created by 'jffe@000': tokenId='d833ec20-0d22-4bf3-9c38-c7ab4d322ea0', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019773000, refreshable=false
2021-02-22T18:39:33.000Z [AUDIT] Token created by 'jffe@000': tokenId='bc0391e8-d4d4-41f6-a041-66d0bf9245c6', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019773000, refreshable=false
2021-02-22T18:39:33.010Z [AUDIT] Token created by 'jffe@000': tokenId='1141332c-c1da-438d-bf30-e31aa21d69d1', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019773010, refreshable=false
2021-02-22T18:39:43.516Z [AUDIT] Token created by 'jffe@000': tokenId='5443a8f0-3da2-4177-a6cb-15da7b2b0e4f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019783516, refreshable=false
2021-02-22T18:40:11.481Z [AUDIT] Token revoked by 'jffe@000': tokenId='a49715c5-9722-42e9-aa08-13aede43cc6f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614020972929, refreshable=true
2021-02-22T18:40:16.298Z [AUDIT] Token created by 'jffe@000': tokenId='2c414e6f-9223-4708-b53a-49534561ff62', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614021016295, refreshable=true
2021-02-22T18:40:16.350Z [AUDIT] Token created by 'jffe@000': tokenId='0a4c943f-443a-4e81-b01a-8a1373b00a5c', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019816350, refreshable=false
